Player,POS_prefix,RUSHING_ATT,RUSHING_YDS,RUSHING_TDS,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,TOT_TDS,FPTS,FPTS_BIN,RECEIVING_REC_BIN,TOT_TDS_BIN
Jalen Tolbert DAL,WR,0.0,0.0,0.0,35.7,422.0,3.6,3.6,99.2,75-99,30-39,0-4
Tory Horton SEA,WR,1.0,8.0,0.0,36.8,485.5,2.5,2.5,98.8,75-99,30-39,0-4
Elijah Arroyo SEA,TE,0.0,0.0,0.0,40.0,424.1,2.8,2.8,98.6,75-99,30-39,0-4
Rico Dowdle CAR,RB,93.1,416.2,2.4,22.4,151.8,1.1,3.5,98.3,75-99,20-29,0-4
Troy Franklin DEN,WR,1.1,6.1,0.0,34.6,434.2,3.3,3.3,98.1,75-99,30-39,0-4
Ray Davis BUF,RB,114.6,485.6,3.7,12.4,105.6,1.0,4.7,97.7,75-99,10-19,0-4
Dyami Brown JAC,WR,0.7,6.8,0.0,35.7,455.0,2.5,2.5,96.1,75-99,30-39,0-4
Nick Westbrook-Ikhine MIA,WR,0.0,1.3,0.0,31.3,427.2,3.7,3.7,96.0,75-99,30-39,0-4
Braelon Allen NYJ,RB,116.6,440.4,3.0,16.8,126.5,0.8,3.8,95.5,75-99,10-19,0-4
Pat Bryant DEN,WR,0.0,0.0,0.0,34.2,416.6,3.1,3.1,94.0,75-99,30-39,0-4
Kareem Hunt KC,RB,80.8,323.1,3.3,21.3,149.2,0.8,4.1,93.2,75-99,20-29,0-4
Kyle Williams NE,WR,2.1,13.3,0.0,33.5,428.5,2.5,2.5,92.2,75-99,30-39,0-4
Will Dissly LAC,TE,0.0,0.0,0.0,38.4,376.9,2.5,2.5,91.2,75-99,30-39,0-4
Andrei Iosivas CIN,WR,0.0,0.0,0.0,31.2,379.2,3.7,3.7,90.9,75-99,30-39,0-4
Kayshon Boutte NE,WR,0.0,0.0,0.0,31.9,428.1,2.7,2.7,90.6,75-99,30-39,0-4
Noah Brown WAS,WR,0.0,0.0,0.0,33.8,434.1,2.2,2.2,90.0,75-99,30-39,0-4
Noah Fant CIN,TE,0.0,0.0,0.0,37.2,381.0,2.4,2.4,89.9,75-99,30-39,0-4
Jordan Whittington LAR,WR,1.1,13.9,0.0,33.9,395.0,2.4,2.4,89.0,75-99,30-39,0-4
Elic Ayomanor TEN,WR,0.0,5.7,0.0,33.3,404.6,2.3,2.3,88.0,75-99,30-39,0-4
Kendre Miller NO,RB,110.2,416.5,3.7,12.0,90.0,0.2,3.9000000000000004,85.1,75-99,10-19,0-4
Ollie Gordon II MIA,RB,96.7,410.2,3.4,12.4,94.9,0.5,3.9,84.0,75-99,10-19,0-4
Justice Hill BAL,RB,41.9,185.3,1.2,27.3,221.2,1.7,2.9,83.9,75-99,20-29,0-4
Greg Dortch ARI,WR,4.8,30.6,0.1,33.0,329.1,2.5,2.6,83.5,75-99,30-39,0-4
Roman Wilson PIT,WR,0.0,0.0,0.0,30.3,378.5,2.6,2.6,83.4,75-99,30-39,0-4
Roschon Johnson CHI,RB,86.7,300.8,4.2,14.9,98.1,0.4,4.6000000000000005,82.5,75-99,10-19,0-4
Tre Tucker LV,WR,5.6,31.6,0.3,28.4,359.4,2.1,2.4,82.3,75-99,20-29,0-4
Isaac TeSlaa DET,WR,0.0,0.0,0.0,28.4,375.3,2.3,2.3,79.6,75-99,20-29,0-4
Tyler Conklin LAC,TE,0.0,0.0,0.0,33.5,324.6,2.3,2.3,79.5,75-99,30-39,0-4
Adonai Mitchell IND,WR,2.9,9.5,0.1,28.3,371.0,2.2,2.3000000000000003,78.8,75-99,20-29,0-4
Brian Robinson Jr. SF,RB,106.3,427.0,3.5,8.1,66.5,0.4,3.9,78.5,75-99,0-9,0-4
Allen Lazard NYJ,WR,0.0,0.0,0.0,27.6,354.1,2.5,2.5,77.7,75-99,20-29,0-4
Jaylen Wright MIA,RB,108.2,426.9,2.8,10.5,71.2,0.5,3.3,77.5,75-99,10-19,0-4
Noah Gray KC,TE,0.0,0.5,0.0,30.1,307.9,2.8,2.8,77.4,75-99,30-39,0-4
AJ Barner SEA,TE,0.0,0.0,0.0,32.3,305.6,2.4,2.4,77.1,75-99,30-39,0-4
Jamari Thrash CLE,WR,0.0,0.0,0.0,29.5,355.8,1.9,1.9,76.2,75-99,20-29,0-4
Dontayvion Wicks GB,WR,0.0,1.3,0.0,25.6,321.4,3.0,3.0,75.8,75-99,20-29,0-4
Brandin Cooks NO,WR,1.7,1.8,0.0,28.5,325.1,2.4,2.4,75.3,75-99,20-29,0-4
Malik Washington MIA,WR,2.0,13.8,0.1,30.0,313.0,1.8,1.9000000000000001,72.8,50-74,20-29,0-4
Raheem Mostert LV,RB,77.2,278.3,2.4,16.3,121.0,0.6,3.0,72.5,50-74,10-19,0-4
Curtis Samuel BUF,WR,6.6,29.3,0.1,26.9,271.9,2.5,2.6,72.4,50-74,20-29,0-4
Blake Corum LAR,RB,93.4,347.4,2.3,12.6,93.1,0.3,2.5999999999999996,71.7,50-74,10-19,0-4
Woody Marks HOU,RB,58.4,234.6,1.6,19.4,144.5,0.8,2.4000000000000004,71.6,50-74,10-19,0-4
KaVontae Turpin DAL,WR,8.3,57.9,0.5,23.7,289.7,1.9,2.4,71.3,50-74,20-29,0-4
Harold Fannin Jr. CLE,TE,0.0,0.0,0.0,30.7,303.4,1.8,1.8,70.9,50-74,30-39,0-4
Christian Watson GB,WR,3.3,14.0,0.0,19.9,355.3,2.3,2.3,70.1,50-74,10-19,0-4
Austin Hooper NE,TE,0.0,0.0,0.0,29.6,294.7,1.9,1.9,69.5,50-74,20-29,0-4
Dont'e Thornton Jr. LV,WR,0.0,2.0,0.0,24.9,324.6,2.0,2.0,69.4,50-74,20-29,0-4
MarShawn Lloyd GB,RB,87.5,313.9,2.5,11.0,88.3,0.6,3.1,69.3,50-74,10-19,0-4
Cole Kmet CHI,TE,0.0,0.0,0.0,28.4,272.7,2.3,2.3,68.5,50-74,20-29,0-4
Samaje Perine CIN,RB,49.5,201.6,1.3,18.4,161.8,0.9,2.2,66.8,50-74,10-19,0-4
Devaughn Vele NO,WR,0.0,1.7,0.0,27.5,292.0,1.7,1.7,66.6,50-74,20-29,0-4
Ty Johnson BUF,RB,45.2,206.0,0.9,15.1,165.3,1.5,2.4,66.5,50-74,10-19,0-4
Michael Mayer LV,TE,0.0,0.0,0.0,28.5,262.1,1.8,1.8,65.3,50-74,20-29,0-4
Van Jefferson TEN,WR,0.0,0.0,0.0,23.6,303.8,1.9,1.9,65.2,50-74,20-29,0-4
Jalen Nailor MIN,WR,1.8,3.1,0.0,21.0,285.6,2.6,2.6,64.8,50-74,20-29,0-4
Tahj Brooks CIN,RB,66.1,266.1,2.1,12.4,103.6,0.7,2.8,64.2,50-74,10-19,0-4
Miles Sanders DAL,RB,92.8,342.5,2.0,10.0,61.9,0.3,2.3,63.7,50-74,0-9,0-4
JuJu Smith-Schuster KC,WR,0.0,0.0,0.0,24.7,273.3,1.9,1.9,63.2,50-74,20-29,0-4
Keaton Mitchell BAL,RB,66.1,322.4,1.7,9.1,85.5,0.5,2.2,63.2,50-74,0-9,0-4
Antonio Gibson NE,RB,50.6,213.4,1.0,16.4,133.2,0.5,1.5,60.0,50-74,10-19,0-4
Chris Rodriguez Jr. WAS,RB,70.4,318.3,2.9,5.3,40.3,0.1,3.0,58.9,50-74,0-9,0-4
Robbie Ouzts SEA,TE,0.0,0.0,0.0,25.5,247.9,1.5,1.5,58.5,50-74,20-29,0-4
